Country,Year,GDP,Urban_population,Industry,Business,Mining,Manufacturing,Electricity_supply,Water_supply,Construction,Retail trade,Transportation,Accommodation,Information,Financial,Real estate,Professional_scientific,Administrative,Education,Human_health,Arts,Other
Romania,2021,9610,54,3,10,-15,20,2,2,-15,16,1,3,18,32,3,0,-22,7,10,8,19
Slovakia,2010,12660,54,19,20,5,27,15,-9,4,28,2,11,27,37,18,12,6,14,23,7,-2
Slovakia,2011,13080,54,20,19,-10,27,9,-2,1,26,1,0,28,37,25,11,7,15,24,14,8
Slovakia,2012,13230,54,20,21,-8,27,10,-1,8,27,5,13,27,35,21,18,9,15,24,13,4
Slovakia,2013,13300,54,18,20,10,27,12,-3,5,25,3,12,27,35,36,13,8,13,22,16,-11
Slovakia,2014,13640,54,19,20,13,27,11,-6,8,25,4,14,28,35,21,19,10,13,24,16,-1
Slovakia,2015,14340,53,19,20,14,26,7,-7,4,29,5,13,27,38,23,14,9,14,26,21,-7
Slovakia,2016,14590,53,19,20,17,26,10,-4,3,28,3,11,26,36,26,15,8,14,23,19,-10
Slovakia,2017,15000,53,20,21,20,25,10,-2,6,31,7,13,27,34,24,16,7,13,26,22,-8
Slovakia,2018,15580,53,19,20,21,25,14,2,11,26,8,12,25,33,19,16,4,11,26,21,-9
Slovakia,2019,15960,53,18,19,18,25,12,-1,8,25,8,9,27,31,17,13,0,11,26,11,-4
Slovakia,2020,15400,53,15,18,15,24,9,-2,8,25,8,11,27,31,16,12,1,12,24,9,-6
Slovakia,2021,15920,53,16,18,15,25,10,-4,2,24,7,10,26,30,16,11,2,12,22,11,-8
Slovenia,2010,17750,52,0,6,16,12,5,-16,-24,11,-15,13,14,22,8,13,12,9,19,20,36
Slovenia,2011,17870,52,3,8,16,13,1,-15,-21,13,-20,11,14,22,7,11,11,10,18,19,32
Slovenia,2012,17360,53,4,7,17,13,3,-12,-21,13,-21,10,14,21,1,5,8,11,19,17,32
Slovenia,2013,17160,53,6,8,14,13,0,-8,-20,14,-17,8,14,22,-5,1,7,12,19,16,31
Slovenia,2014,17620,53,7,8,13,13,0,-11,-21,15,-17,7,15,23,-4,0,6,13,21,16,28
Slovenia,2015,17990,53,8,9,14,14,0,-13,-22,17,-18,8,16,23,-2,1,8,14,20,13,24
Slovenia,2016,18550,54,8,9,13,14,1,-17,-26,19,-20,7,16,22,-3,3,11,14,18,12,18
Slovenia,2017,19440,54,8,10,12,14,-1,-20,-26,20,-20,7,18,23,0,7,13,15,17,8,12
Slovenia,2018,20240,54,9,11,14,15,2,-21,-27,22,-20,7,19,24,4,10,14,15,17,7,6
Slovenia,2019,20770,54,7,9,14,14,1,-24,-27,21,-22,7,19,24,3,12,14,15,16,5,3
Slovenia,2020,19740,55,3,7,12,10,0,-24,-27,19,-25,5,19,24,0,10,13,14,16,2,-1
Slovenia,2021,21310,55,3,9,8,11,-2,-19,-22,20,-16,3,19,24,-3,12,13,11,15,1,-4
Spain,2010,23040,78,16,22,12,22,14,17,3,23,11,18,14,22,22,22,16,10,24,22,20
Spain,2011,22770,78,17,23,14,24,8,17,4,26,11,16,16,22,21,23,16,12,23,17,22
Spain,2012,22080,78,18,23,15,23,13,16,4,25,11,18,16,21,19,23,15,11,25,14,19
Spain,2013,21850,79,17,23,10,22,15,15,5,25,12,15,16,22,21,20,14,9,24,11,15
Spain,2014,22220,79,14,19,-9,19,17,13,-3,21,12,12,13,18,18,19,14,7,22,17,12
Spain,2015,23090,79,14,19,-12,19,15,14,2,21,7,12,12,17,21,19,16,5,22,15,17
Spain,2016,23780,79,14,19,-4,18,12,12,0,22,7,13,12,19,20,20,16,9,24,11,14
Spain,2017,24440,80,13,18,-8,16,15,12,-2,19,8,8,11,16,10,22,15,9,23,9,16
Spain,2018,24890,80,11,16,-16,17,15,10,-8,19,5,7,12,15,14,18,16,9,22,10,11
Spain,2019,25180,80,9,15,-20,14,12,8,-6,15,2,6,8,13,13,20,12,11,21,7,13
Spain,2020,22210,80,8,14,-22,13,15,7,-6,15,-2,5,7,13,14,20,14,12,23,7,10
Spain,2021,23450,81,8,14,-22,13,15,7,-6,15,-2,5,7,13,14,20,14,12,23,7,10
Sweden,2010,39950,85,15,12,5,8,10,2,1,14,4,8,14,32,11,18,8,11,13,11,13
Sweden,2011,40920,85,15,12,5,7,9,0,2,14,3,8,15,31,9,17,7,11,14,10,13
Sweden,2012,40380,85,15,12,8,7,8,0,4,12,2,7,13,30,10,18,7,11,13,11,10
Sweden,2013,40510,85,14,11,6,7,8,0,1,12,3,5,12,28,10,15,6,10,12,11,10
Sweden,2014,41180,86,13,10,7,6,8,0,-2,11,1,6,11,27,9,15,6,10,10,10,9
Sweden,2015,42580,86,14,10,5,5,9,-14,3,14,-7,6,10,26,6,16,5,10,11,7,8
Sweden,2016,42920,86,13,10,6,4,8,-12,5,14,1,6,11,26,6,14,5,8,9,7,7
Sweden,2017,43430,87,12,10,8,4,9,-4,2,13,1,6,10,24,6,12,3,8,9,9,5
Sweden,2018,43760,87,12,9,8,4,9,-16,0,13,0,5,8,24,4,12,1,8,8,8,7
Sweden,2019,44180,87,11,8,2,3,5,-4,-2,12,-1,3,8,25,6,11,2,8,8,7,7
Sweden,2020,42910,87,11,7,2,1,5,-5,-3,12,-1,5,9,25,5,12,1,8,7,7,7
Sweden,2021,44950,88,11,8,2,2,3,-5,0,12,-2,7,10,23,4,12,3,7,7,7,6
Switzerland,2010,57730,73,17,23,5,19,15,8,8,27,13,8,24,32,22,24,21,12,19,14,22
Switzerland,2011,58220,73,17,20,10,18,12,8,8,23,13,8,21,31,20,23,17,8,18,15,20
Switzerland,2012,58290,73,17,20,9,18,11,7,8,23,13,8,21,31,20,23,17,8,18,15,20
Switzerland,2013,58650,73,17,20,9,18,11,7,8,22,13,8,21,31,20,23,17,8,18,15,20
Switzerland,2014,59300,73,17,19,8,18,10,6,7,22,12,8,21,31,20,22,17,7,18,14,19
Switzerland,2015,59600,73,17,20,9,17,11,7,5,21,12,7,22,31,20,24,17,9,19,13,21
Switzerland,2016,60170,73,17,19,8,17,11,4,7,22,13,7,22,31,21,23,18,9,17,15,17
Switzerland,2017,60420,73,17,19,8,17,11,3,7,22,13,6,22,31,22,23,18,10,17,15,15
Switzerland,2018,61690,73,18,20,9,17,12,4,7,23,11,6,24,33,22,25,18,13,18,14,18
Switzerland,2019,61950,73,18,20,9,16,12,4,7,22,12,6,24,33,22,26,18,13,17,16,19
Switzerland,2020,60040,73,18,20,7,16,11,2,7,21,11,6,22,33,22,27,17,13,18,11,15
Switzerland,2021,62100,74,17,19,8,16,11,3,8,21,11,6,21,31,21,26,17,12,17,12,16
